user_id,final_recs
133,"[1019820, 1065593, 1038217, 1127831, 5590661]"
135,"[848029, 1065593, 862349, 959455, 926422]"
136,"[848029, 1038217, 8090521, 5569349, 949965]"
138,"[9419528, 879755, 1062966, 1070820, 979566]"
139,"[1021324, 1065593, 1085604, 1058997, 968695]"
142,"[948670, 1038217, 981760, 1074524, 1093966]"
143,"[5590765, 893501, 1119051, 5569230, 1043920]"
144,"[930283, 1038217, 981760, 1106523, 901976]"
145,"[848783, 1065593, 1038217, 5569471, 1112639]"
147,"[848029, 1065593, 1038217, 1133018, 860975]"
148,"[1069312, 1038217, 981760, 995242, 1003487]"
149,"[1079913, 1065593, 879755, 981760, 873044]"
151,"[848029, 1065593, 1038217, 999581, 916122]"
152,"[882308, 1038217, 879755, 1037332, 1040785]"
153,"[848029, 1038217, 859075, 906655, 916122]"
154,"[848029, 1065593, 1030362, 1029252, 965766]"
155,"[849202, 1065593, 1038217, 1029743, 971922]"
156,"[15512233, 1065593, 1038217, 861445, 908531]"
157,"[844462, 1065593, 1038217, 962229, 1046839]"
158,"[1100869, 1065593, 879755, 862349, 7025106]"
159,"[955914, 1065593, 879755, 8205218, 1096036]"
160,"[904997, 1065593, 1038217, 5580525, 1070820]"
161,"[1061522, 879755, 1092026, 9677202, 12352054]"
162,"[841565, 1065593, 1038217, 1122358, 902856]"
163,"[848029, 1065593, 1038217, 951727, 944137]"
164,"[6391289, 879755, 1062966, 1029743, 896803]"
165,"[848029, 1065593, 981760, 1070820, 944534]"
166,"[926884, 1065593, 1038217, 1075368, 1029743]"
167,"[848029, 1065593, 1072693, 1009046, 962266]"
171,"[848029, 1065593, 987724, 908531, 998119]"
172,"[6533765, 1065593, 1038217, 1053690, 1044500]"
175,"[848029, 1065593, 1058997, 1053329, 5565802]"
177,"[6703768, 1065593, 981760, 1127831, 1058997]"
178,"[848029, 1065593, 963686, 1092026, 873627]"
180,"[1013928, 1065593, 879755, 5569230, 830503]"
182,"[1134678, 1065593, 1038217, 1133018, 1134522]"
183,"[1100830, 1065593, 1038217, 1106523, 1081853]"
184,"[874972, 1065593, 1038217, 896085, 824005]"
185,"[6533765, 1038217, 981760, 1029743, 916122]"
188,"[917384, 1065593, 1038217, 1106523, 868909]"
189,"[904129, 1065593, 1038217, 9707498, 986912]"
191,"[848029, 1065593, 1052945, 1007082, 1029743]"
192,"[1082627, 1038217, 879755, 5569230, 1082212]"
193,"[930486, 1065593, 1038217, 1029743, 6704207]"
194,"[836445, 1065593, 1038217, 854852, 6391381]"
195,"[1000753, 1065593, 1038217, 821344, 1029743]"
196,"[6533765, 879755, 844165, 1106523, 1037840]"
197,"[848029, 1065593, 1126899, 951590, 1002591]"
198,"[1000753, 1092026, 1119051, 1085604, 1029743]"
199,"[848029, 1065593, 1005186, 990004, 7409670]"
200,"[848029, 1065593, 1037894, 863802, 839248]"
201,"[850028, 1065593, 1038217, 1138292, 1108168]"
203,"[848029, 1038217, 1029743, 1005186, 891752]"
204,"[848029, 1065593, 6034857, 1040807, 1070845]"
205,"[936322, 1065593, 1038217, 1106523, 910032]"
206,"[5590965, 1065593, 1038217, 926905, 999779]"
207,"[848029, 1065593, 976199, 1077048, 1015113]"
208,"[12731425, 1065593, 1038217, 854133, 879504]"
209,"[6533765, 1065593, 1038217, 923746, 1056212]"
210,"[12757425, 1065593, 833025, 879755, 1034134]"
211,"[6391152, 1065593, 1038217, 962229, 847962]"
212,"[849202, 1065593, 1038217, 1081189, 6533362]"
214,"[6602270, 1065593, 1038217, 901062, 8293343]"
215,"[848029, 1038217, 1101721, 882288, 1005186]"
216,"[974156, 1065593, 1038217, 874832, 910109]"
217,"[1000753, 1065593, 1038217, 841266, 895930]"
218,"[878715, 1065593, 1038217, 965772, 931672]"
219,"[1004436, 1065593, 1038217, 1127831, 862349]"
220,"[848029, 1065593, 899682, 5574108, 844929]"
221,"[848029, 1065593, 1133018, 6424460, 1137775]"
222,"[948670, 1065593, 1085604, 1010308, 999779]"
223,"[904129, 1085604, 1092026, 1029743, 859075]"
224,"[1038663, 1038217, 879755, 1078478, 850925]"
225,"[848029, 1038217, 987122, 1029743, 1046789]"
226,"[829291, 1038217, 879755, 1029743, 909894]"
227,"[848029, 1038217, 908531, 954424, 1088740]"
228,"[12582527, 1065593, 1038217, 5569471, 1139782]"
230,"[6533765, 1038217, 879755, 1029743, 8090537]"
232,"[6533765, 1053690, 862349, 1014388, 859075]"
233,"[848029, 1065593, 1122568, 994868, 1029743]"
235,"[944018, 1065593, 879755, 862732, 1070820]"
236,"[848029, 1065593, 1126899, 1014948, 915617]"
237,"[848029, 1065593, 851241, 914190, 1029743]"
238,"[948670, 1065593, 1038217, 1102416, 1044078]"
239,"[948670, 879755, 1062966, 1133018, 854852]"
240,"[848029, 1065593, 1106523, 981760, 951590]"
242,"[924770, 1065593, 1038217, 1029743, 1081177]"
243,"[1075007, 1065593, 1038217, 1126899, 1117393]"
244,"[1000753, 1065593, 1038217, 1133018, 10284972]"
245,"[12731517, 1065593, 1038217, 908531, 981760]"
246,"[848029, 1065593, 1070820, 978313, 1054186]"
247,"[867936, 1038217, 1062966, 1005186, 1133018]"
248,"[848029, 1065593, 1126899, 913210, 1062002]"
249,"[6919087, 1038217, 879755, 1053690, 995242]"
250,"[980353, 1065593, 1038217, 844165, 923169]"
251,"[874972, 1065593, 1038217, 1070820, 907631]"
253,"[949030, 833025, 893501, 951590, 923746]"
254,"[848029, 1065593, 1106523, 862535, 835675]"
255,"[848029, 1065593, 5569230, 982973, 1082212]"
256,"[948670, 1065593, 981760, 862349, 1101706]"
257,"[1038663, 879755, 1062966, 1106523, 1093413]"
258,"[1048257, 1038217, 879755, 995242, 1065593]"
259,"[1055022, 1065593, 1038217, 881154, 832768]"
260,"[848029, 1065593, 1028816, 962229, 921836]"
261,"[848029, 1065593, 995242, 7167945, 1059080]"
262,"[848029, 1065593, 1058997, 1008814, 1076571]"
263,"[12731685, 879755, 1062966, 1029743, 1044078]"
267,"[848029, 1065593, 935393, 929373, 844165]"
269,"[5995129, 1065593, 1038217, 1139782, 1131438]"
271,"[848029, 1065593, 986912, 1085256, 1018740]"
273,"[879734, 879755, 1062966, 1053690, 6979579]"
275,"[6533765, 1065593, 1038217, 1106523, 857554]"
276,"[847803, 1092026, 1119051, 825317, 995242]"
277,"[848029, 1065593, 1029743, 985911, 844179]"
278,"[917384, 1065593, 1038217, 895680, 836770]"
279,"[995151, 1065593, 879755, 1029743, 919534]"
280,"[5578437, 1065593, 879755, 1106523, 978376]"
281,"[848029, 1065593, 1038217, 1070820, 833025]"
282,"[909972, 1065593, 879755, 6464074, 5571261]"
283,"[1108094, 1065593, 879755, 7409644, 940947]"
285,"[6533765, 1065593, 1038217, 878739, 995242]"
286,"[1115069, 1065593, 1038217, 9553154, 869333]"
287,"[997272, 879755, 833025, 1106523, 10204543]"
288,"[848029, 1065593, 1070820, 932179, 845208]"
289,"[1138243, 1065593, 1038217, 981760, 945662]"
290,"[7160764, 879755, 893501, 873964, 995242]"
291,"[995238, 1038217, 1062966, 911311, 1058779]"
292,"[1013928, 1065593, 879755, 1043920, 1135468]"
293,"[942109, 1065593, 1038217, 987562, 981760]"
294,"[837920, 1038217, 1085604, 1106523, 908531]"
297,"[874972, 1065593, 1038217, 1075368, 844165]"
300,"[1138243, 1065593, 1038217, 1106523, 944534]"
301,"[874972, 1065593, 1038217, 1015474, 1127831]"
302,"[848029, 1065593, 1027168, 5569327, 857540]"
303,"[1034176, 879755, 833025, 995242, 822225]"
304,"[6396070, 1038217, 1085604, 1029743, 873627]"
305,"[1034176, 1038217, 879755, 1133850, 885290]"
306,"[13213240, 1038217, 879755, 1056509, 838940]"
307,"[1014732, 1065593, 1038217, 819765, 1029504]"
308,"[15477999, 1038217, 981760, 887102, 1043787]"
311,"[848029, 1065593, 1038217, 1106523, 1091365]"
314,"[882308, 1065593, 1038217, 820486, 981760]"
316,"[848029, 1038217, 1044078, 995242, 841228]"
317,"[12984576, 1065593, 1038217, 1029743, 983584]"
318,"[1021324, 1038217, 879755, 5569230, 1106523]"
319,"[887474, 1065593, 1085604, 1106523, 990797]"
320,"[959737, 1065593, 1038217, 930603, 903325]"
321,"[830203, 1065593, 879755, 905436, 1058997]"
322,"[848029, 1065593, 8090556, 12524005, 1040807]"
324,"[1029199, 1065593, 1038217, 951188, 1057260]"
325,"[9655679, 1065593, 1038217, 995242, 909894]"
326,"[973016, 1065593, 1038217, 1137346, 8090521]"
328,"[1048257, 1065593, 1038217, 1070820, 821083]"
329,"[948670, 1065593, 1038217, 901062, 1081189]"
331,"[906777, 1065593, 1038217, 983659, 1070820]"
332,"[970747, 879755, 1062966, 1070820, 1056267]"
334,"[848029, 1038217, 826144, 847982, 1005186]"
335,"[9677366, 1065593, 1038217, 945652, 1088540]"
338,"[6633244, 879755, 1062966, 1026118, 1051516]"
339,"[848029, 981760, 1106523, 1082172, 1031492]"
341,"[955258, 1065593, 1038217, 6391089, 916122]"
342,"[848029, 1065593, 1005186, 6464056, 1029743]"
343,"[1112108, 1065593, 1038217, 8119231, 1092588]"
345,"[7155012, 1065593, 1038217, 6602697, 1002558]"
346,"[962615, 1038217, 879755, 1101010, 1029743]"
347,"[848029, 1065593, 1110409, 1029743, 981760]"
348,"[6533765, 879755, 1092026, 1096036, 981760]"
349,"[848029, 1038217, 1126899, 1043751, 824305]"
350,"[12810464, 1065593, 1038217, 834103, 1091365]"
351,"[8020166, 1065593, 1085604, 951590, 894439]"
353,"[970866, 1065593, 879755, 1022254, 979707]"
354,"[849202, 1065593, 1038217, 916122, 951590]"
356,"[1042940, 1038217, 981760, 1049735, 997025]"
357,"[1118235, 1065593, 981760, 1126899, 1071277]"
358,"[981677, 1065593, 1038217, 5569230, 949294]"
360,"[848029, 1038217, 5568378, 830887, 1045220]"
361,"[874972, 1038217, 879755, 1056509, 1044078]"
362,"[848029, 1038217, 923746, 1128395, 1127831]"
364,"[917384, 1065593, 879755, 1106523, 279994]"
365,"[1000753, 1065593, 1038217, 955275, 1132771]"
367,"[9524291, 1038217, 981760, 1058021, 961554]"
368,"[874972, 1065593, 1038217, 6391484, 6533936]"
371,"[1054402, 1085604, 1092026, 1029743, 1137688]"
374,"[1108094, 1065593, 1038217, 879755, 1015296]"
375,"[848029, 1038217, 8090532, 1058021, 914190]"
376,"[873324, 1065593, 1038217, 1133018, 945909]"
377,"[848029, 1065593, 1126899, 6979128, 1087960]"
378,"[848783, 1065593, 1038217, 1005186, 916990]"
380,"[1069863, 879755, 868764, 1098284, 965766]"
381,"[1061228, 981760, 879755, 1075368, 859075]"
382,"[848029, 1065593, 999250, 1108131, 1029743]"
384,"[1065538, 1065593, 1038217, 1061394, 1024871]"
385,"[878715, 1065593, 879755, 1087102, 5591520]"
386,"[6533765, 879755, 1119051, 1133018, 977499]"
387,"[970747, 1065593, 1038217, 1126899, 8090536]"
388,"[848029, 1065593, 1029504, 995242, 13213203]"
389,"[887474, 1065593, 1038217, 1126899, 1019942]"
390,"[874972, 1065593, 1038217, 951590, 888543]"
392,"[842805, 1065593, 1038217, 1133018, 951412]"
393,"[1013928, 1038217, 879755, 972312, 995242]"
394,"[1061228, 1065593, 1038217, 1029743, 1026118]"
395,"[906844, 1065593, 1038217, 1053690, 5569230]"
396,"[866548, 1065593, 1038217, 834103, 9677581]"
397,"[839075, 1065593, 1038217, 6904613, 1107973]"
398,"[1129049, 1065593, 879755, 1029743, 1053690]"
399,"[849202, 1065593, 1038217, 5569230, 1133018]"
400,"[10200030, 1065593, 879755, 1029743, 12695874]"
401,"[848029, 1038217, 942166, 15571290, 1081189]"
402,"[849202, 1065593, 1038217, 13842090, 1136033]"
403,"[874972, 1065593, 1038217, 863447, 944534]"
404,"[9392953, 1065593, 879755, 1092588, 966778]"
405,"[948670, 1065593, 1038217, 1039156, 995242]"
406,"[848029, 1065593, 1017739, 1127831, 871611]"
408,"[1065538, 981760, 879755, 1029743, 862799]"
409,"[950463, 1065593, 1085604, 1070820, 13007600]"
410,"[6919087, 1065593, 1038217, 909894, 1082310]"
411,"[9831557, 1065593, 879755, 1106523, 923746]"
412,"[6533765, 1065593, 1038217, 1005186, 995242]"
413,"[1048257, 1065593, 1038217, 986912, 1033690]"
414,"[848029, 1038217, 1029743, 1082212, 1014999]"
415,"[864893, 1065593, 1038217, 1090884, 1029743]"
417,"[848029, 1038217, 1029743, 1055504, 1065593]"
418,"[901067, 1038217, 879755, 1029743, 852360]"
419,"[1014732, 1038217, 879755, 865948, 5569230]"
420,"[848029, 1065593, 1059902, 865705, 1029743]"
421,"[1108622, 1065593, 879755, 981760, 862349]"
424,"[872922, 1065593, 1038217, 9802756, 897083]"
425,"[959737, 1065593, 981760, 923746, 988572]"
426,"[925516, 1065593, 879755, 899682, 908531]"
427,"[848029, 1065593, 1029743, 12673354, 993638]"
430,"[1094693, 1065593, 1038217, 6391349, 1029743]"
431,"[848029, 1065593, 1070820, 834117, 951590]"
432,"[1052294, 1038217, 879755, 995242, 1089766]"
433,"[848029, 1065593, 1106523, 998373, 923746]"
434,"[961730, 1038217, 879755, 1039781, 845109]"
435,"[848029, 1065593, 1053690, 8090532, 1117514]"
436,"[1107420, 1065593, 1038217, 847982, 934399]"
437,"[7432119, 879755, 1062966, 877310, 1101010]"
438,"[968072, 1065593, 1038217, 1070820, 951590]"
439,"[874972, 1065593, 981760, 1037840, 1103147]"
441,"[906844, 1065593, 1038217, 1038985, 933835]"
442,"[962615, 1065593, 1062966, 1085604, 1110843]"
443,"[848029, 1065593, 1038217, 982393, 1057260]"
445,"[829291, 1065593, 1038217, 1126899, 930335]"
446,"[972969, 1065593, 1038217, 954966, 1029743]"
447,"[848029, 1038217, 1057260, 1029743, 926905]"
448,"[848029, 1065593, 1138443, 1132771, 6463717]"
449,"[848029, 1065593, 1029743, 1048462, 995876]"
450,"[863762, 1065593, 879755, 1038217, 995242]"
451,"[860645, 1065593, 1038217, 1109014, 1044078]"
452,"[848029, 981760, 935284, 1096036, 1100658]"
454,"[1021324, 1085604, 1062966, 995242, 5569230]"
456,"[1108094, 1065593, 1038217, 5569845, 862349]"
457,"[6533765, 879755, 833025, 1029743, 5592931]"
458,"[12810391, 1065593, 1038217, 1023958, 828588]"
459,"[894137, 1065593, 1038217, 972312, 1077555]"
460,"[848029, 1065593, 1017459, 935342, 1081177]"
461,"[848029, 1038217, 879755, 1029743, 916122]"
462,"[848029, 1065593, 995242, 1024306, 1024489]"
463,"[948670, 1065593, 1038217, 1036093, 857006]"
464,"[9419528, 1038217, 879755, 995242, 856772]"
466,"[13115639, 1065593, 1038217, 1025611, 895652]"
467,"[6396070, 1065593, 1038217, 1106523, 9296804]"
468,"[1118946, 1038217, 1062966, 1095700, 1044078]"
469,"[849202, 1065593, 1038217, 1127831, 1070820]"
470,"[848029, 1038217, 840601, 970619, 1006277]"
471,"[1075007, 1065593, 1038217, 1119405, 1127831]"
472,"[933354, 1038217, 879755, 1029743, 981760]"
473,"[970866, 879755, 1062966, 1053016, 1035207]"
474,"[848029, 1038217, 1088683, 1053690, 1029743]"
475,"[874112, 1065593, 1038217, 1029743, 9837076]"
476,"[836090, 1065593, 1038217, 1106523, 8090521]"
477,"[848029, 1065593, 908531, 1029743, 981521]"
479,"[848029, 981760, 1085604, 962229, 1063207]"
480,"[12172071, 1065593, 981760, 862349, 1051516]"
481,"[848029, 879755, 972416, 951590, 1007269]"
482,"[959134, 1065593, 1038217, 951590, 910673]"
483,"[1139216, 1038217, 981760, 1106523, 12695224]"
484,"[1118946, 879755, 1062966, 10198402, 1048750]"
485,"[12810391, 1065593, 981760, 1029743, 845193]"
486,"[848029, 1065593, 5984458, 284611, 46427]"
487,"[848029, 1065593, 1029743, 981760, 951590]"
488,"[848029, 1065593, 1026118, 901062, 943393]"
489,"[837569, 1065593, 1038217, 986912, 1022254]"
490,"[13910075, 1065593, 981760, 5569471, 1075368]"
491,"[6633176, 1065593, 981760, 1055504, 1126899]"
493,"[1070723, 1065593, 1038217, 995242, 8090539]"
495,"[12810391, 1085604, 844165, 1029743, 1024032]"
496,"[822280, 1065593, 1038217, 999270, 1106523]"
497,"[848029, 1065593, 9707137, 8276172, 5567148]"
498,"[1061228, 981760, 879755, 1028891, 841872]"
501,"[848029, 1065593, 878222, 932949, 1029743]"
502,"[874972, 1085604, 1092026, 1029743, 893018]"
503,"[1004054, 1065593, 981760, 1073150, 8090536]"
505,"[848029, 1065593, 7441498, 1029743, 981760]"
506,"[848029, 1038217, 1081189, 890604, 896761]"
507,"[848029, 1065593, 1008012, 1127716, 1044259]"
510,"[1034176, 1065593, 879755, 1036501, 1127831]"
511,"[6533765, 1065593, 1092026, 879755, 1029743]"
512,"[848029, 879755, 1062966, 1106523, 951590]"
513,"[1087618, 1065593, 1038217, 865026, 5569471]"
514,"[7410217, 1065593, 1038217, 923169, 1110843]"
515,"[1034176, 879755, 1062966, 1106523, 8090521]"
517,"[904997, 1065593, 1038217, 1126899, 1028816]"
518,"[12810391, 1065593, 1038217, 862732, 10457131]"
519,"[848029, 1065593, 1029743, 962266, 903325]"
520,"[956599, 1085604, 1062966, 1106523, 8090537]"
521,"[848029, 1065593, 8090440, 1024306, 923751]"
523,"[968072, 1065593, 1038217, 1005186, 1057260]"
524,"[1125837, 1065593, 1038217, 1133018, 1037863]"
525,"[848029, 1065593, 1026118, 824305, 1101010]"
526,"[848029, 1038217, 5569230, 1044078, 1029743]"
527,"[877383, 1065593, 1038217, 1046584, 6514259]"
528,"[848029, 1065593, 914190, 866871, 1029743]"
530,"[906844, 1065593, 879755, 909688, 976199]"
532,"[1130729, 1065593, 1038217, 1127831, 1029743]"
534,"[6533765, 1038217, 981760, 841228, 926422]"
536,"[848029, 1065593, 1029743, 965982, 888054]"
537,"[1065538, 1065593, 1038217, 1116635, 1072523]"
538,"[867447, 1065593, 1038217, 1070820, 906838]"
539,"[878715, 1065593, 1038217, 860975, 1068719]"
540,"[898829, 1065593, 1038217, 1000237, 6391381]"
541,"[9524291, 1065593, 1038217, 1106523, 936594]"
542,"[1020208, 1085604, 1062966, 1106523, 824796]"
543,"[879734, 1065593, 1038217, 820486, 844165]"
544,"[848029, 1065593, 1085604, 1006184, 841228]"
545,"[894132, 1065593, 1038217, 934635, 1070076]"
548,"[831407, 1065593, 1038217, 1001333, 923746]"
550,"[848029, 1065593, 995242, 835098, 899624]"
551,"[848029, 1065593, 995242, 1022254, 1070702]"
553,"[849202, 879755, 1092026, 951590, 995242]"
554,"[867785, 1038217, 981760, 1106523, 850102]"
557,"[848029, 1065593, 819330, 10285296, 1126899]"
558,"[1134678, 879755, 1062966, 1106523, 1044078]"
560,"[1087614, 1065593, 1038217, 1029743, 999104]"
561,"[938138, 1065593, 1038217, 13671473, 913671]"
562,"[1115069, 1038217, 879755, 1004996, 1029743]"
564,"[848029, 1065593, 1110843, 1058997, 1039156]"
567,"[6533765, 879755, 1062966, 986912, 1076875]"
568,"[1038663, 1065593, 833025, 1106523, 1083787]"
569,"[981677, 1065593, 1038217, 6391080, 1029743]"
570,"[874972, 1065593, 1038217, 1029743, 1007512]"
573,"[9831557, 1038217, 879755, 1106523, 849697]"
574,"[5568152, 1038217, 981760, 914754, 1029743]"
575,"[1116733, 1038217, 879755, 1049735, 953561]"
577,"[5568800, 1065593, 1038217, 1110244, 951590]"
578,"[976270, 1065593, 1038217, 942166, 854405]"
579,"[848029, 1065593, 1091365, 995242, 6533880]"
580,"[1118946, 1065593, 1038217, 1056509, 981760]"
581,"[12525270, 1065593, 879755, 1084796, 941741]"
582,"[1021324, 1065593, 981760, 5569230, 965555]"
583,"[1021324, 1065593, 879755, 1053690, 1013928]"
585,"[848029, 1065593, 1126899, 5568072, 1085604]"
586,"[906335, 1065593, 1038217, 1029743, 980666]"
587,"[848029, 1065593, 863449, 1126830, 1029743]"
588,"[1100830, 1119051, 862349, 951590, 1053690]"
590,"[1139216, 1038217, 879755, 1053690, 1106523]"
591,"[1065017, 1065593, 893501, 1106523, 935126]"
592,"[1074775, 1065593, 879755, 1070820, 854852]"
593,"[848029, 981760, 1106523, 5592931, 853998]"
594,"[15512234, 893501, 1119051, 1106523, 8090521]"
595,"[1093830, 1065593, 1038217, 1107553, 1036139]"
596,"[836445, 1065593, 981760, 8090537, 1025581]"
597,"[848029, 1065593, 1106301, 1025611, 893018]"
598,"[6533765, 1065593, 1038217, 9553382, 8090532]"
599,"[848029, 1065593, 6391384, 1083721, 1029743]"
600,"[1021324, 1065593, 1085604, 1029743, 991592]"
601,"[1090317, 1065593, 1038217, 1126899, 1037332]"
602,"[833940, 1065593, 1038217, 1029743, 995916]"
603,"[836445, 879755, 868764, 5592931, 833025]"
604,"[1007279, 1065593, 1038217, 862349, 7441668]"
605,"[871563, 1038217, 981760, 965772, 993441]"
606,"[8293437, 1038217, 879755, 1029743, 845208]"
608,"[5590965, 1038217, 879755, 6979753, 1106523]"
609,"[1021324, 1065593, 1038217, 1133018, 1110572]"
610,"[848029, 1065593, 8118969, 1006184, 961399]"
611,"[12757425, 1065593, 1038217, 7409663, 861445]"
612,"[848029, 1038217, 1085604, 1065593, 995242]"
614,"[948670, 1065593, 1038217, 1029743, 878996]"
615,"[848029, 1065593, 995242, 883003, 981760]"
617,"[848029, 1065593, 1137176, 970725, 1126899]"
618,"[6533765, 1092026, 1119051, 1037840, 1106523]"
621,"[5569893, 1065593, 1038217, 1112825, 7024871]"
622,"[1029688, 1065593, 1085604, 1106523, 986912]"
623,"[1014732, 1065593, 1038217, 1029743, 934427]"
624,"[12810391, 1092026, 1119051, 1133018, 1062966]"
625,"[848029, 1065593, 951590, 933835, 6602697]"
627,"[1082040, 1065593, 1038217, 954642, 835787]"
